word,meaning_bn,meaning_en,example,part_of_speech,phonetic,level
April,এপ্রিল,,,,,
August,আগস্ট,"Awe-inspiring, majestic, noble, venerable.",an august patron of the arts,adjective,,
CD,সিডি,,,,,
December,ডিসেম্বর,,,,,
February,ফেব্রুয়ারি,,,,,
Friday,শুক্রবার,,,,,
I,আমি,The name of the Latin-script letter I.,the position of an i-dot (the dot of an i),noun,,
Internet,ইন্টারনেট,Any set of computer networks that communicate using the Internet Protocol. (An intranet.),,noun,/ˈɪntəˌnɛt/,
January,জানুয়ারি,,,,,
July,জুলাই,,,,,
June,জুন,,,,,
K,কে,A kilobyte (more formally KB or kB).,,noun,,
March,মার্চ,"A formal, rhythmic way of walking, used especially by soldiers, bands and in ceremonies.",,noun,/mɑːtʃ/,
May,মে,To be strong; to have power (over).,,verb,/meɪ/,
Monday,সোমবার,,,,,
Mr.,মি.,,,,,
Mrs.,মিসেস,,,,,
Ms.,সুশ্রী,Abbreviation of million.,,noun,,
November,নভেম্বর,,,,,
OK,ঠিক আছে,"All right, permitted.",Do you think it's OK to stay here for the night?,adjective,,
October,অক্টোবর,,,,,
Saturday,শনিবার,,,,,
September,সেপ্টেম্বর,,,,,
Sunday,রবিবার,,,,,
TV,টিভি,The assessed value of an asset from which the tax owing is computed.,,noun,,
Thursday,বৃহস্পতিবার,,,,,
Tuesday,মঙ্গলবার,,,,,
Web site,ওয়েব সাইট,,,,,
Wednesday,বুধবার,,,,,
a,ক,The name of the Latin script letter A/a.,,noun,/æɪ/,
a.m.,a.m,Before noon.,,adverb,,
abandon,পরিত্যাগ করা,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.",,verb,/əˈbæn.dən/,
abandoned,পরিত্যক্ত,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions.",,verb,/əˈbæn.dn̩d/,
ability,ক্ষমতা,Suitableness.,,noun,/əˈ.bɪl.ɪ.ti/,
able,সক্ষম,Easy to use.,,adjective,/ˈeɪ.bl̩/,
about,সম্পর্কে,Moving around; astir.,"After my bout with Guillan-Barre Syndrome, it took me 6 months to be up and about again.",adjective,/əˈbɛʊt/,
above,উপরে,Heaven.,,noun,/əˈbʌv/,
abroad,বিদেশে,Countries or lands abroad.,,noun,/əˈbɹɔːd/,
absence,অনুপস্থিতি,A state of being away or withdrawn from a place or from companionship; the period of being away.,Absence makes the heart grow fonder.,noun,/ˈæb.s(ə)n̩s/,
absent,অনুপস্থিত,"(with definite article) Something absent, especially absent people collectively; those who were or are not there.",,noun,/ˈæb.sn̩t/,
absolute,পরম,"That which is independent of context-dependent interpretation, inviolate, fundamental.",moral absolutes,noun,/ˈæb.səˌljuːt/,
absolutely,একেবারে,"In an absolute or unconditional manner; utterly, positively, wholly.",,adverb,/æb.səˈl(j)uːt.lɪ/,
absorb,শোষণ করা,To include so that it no longer has separate existence; to overwhelm; to cause to disappear as if by swallowing up; to incorporate; to assimilate; to take in and use up.,,verb,/əbˈsɔːb/,
abuse,অপব্যবহার,"Improper treatment or usage; application to a wrong or bad purpose; an unjust, corrupt or wrongful practice or custom.","All abuse, whether physical, verbal, psychological or sexual, is bad.",noun,/əˈbjuːs/,
academic,একাডেমিক,"(usually capitalized) A follower of Plato, a Platonist.",,noun,/ˌækəˈdɛmɪk/,
accent,উচ্চারণ,A higher-pitched or stronger articulation of a particular syllable of a word or phrase in order to distinguish it from the others or to emphasize it.,"In the word ""careful"", the accent is placed on the first syllable.",noun,/ˈak.sənt/,
accept,গ্রহণ,"To receive, especially with a consent, with favour, or with approval.",,verb,/ækˈsɛpt/,
acceptable,গ্রহণযোগ্য,"Worthy, decent, sure of being accepted or received with at least moderate pleasure",We need to find an acceptable present for Jeff.,adjective,/æk.ˈsɛp.tə.bəl/,
access,অ্যাক্সেস,A way or means of approaching or entering; an entrance; a passage.,,noun,/ˈæksɛs/,
accident,দুর্ঘটনা,An unexpected event with negative consequences occurring without the intention of the one suffering the consequences.,to die by an accident,noun,/ˈæk.sə.dənt/,
accidental,আকস্মিক,A property which is not essential; a nonessential; anything happening accidentally.,,noun,/ˌæk.sɪ.ˈdɛn.tl̩/,
accompany,সঙ্গে,To go with or attend as a companion or associate; to keep company with; to go along with.,Geoffrey accompanied the group on their pilgrimage.,verb,/ə.ˈkʌm.pə.ni/,
according to,অনুযায়ী,,,,,
account,অ্যাকাউন্ট,"A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review.",,noun,/ə.ˈkaʊnt/,
accurate,সঠিক,Telling the truth or giving a true result; exact; not defective or faulty,accurate knowledge,adjective,/ˈæk.jə.ɹɪt/,
accuse,অভিযুক্ত করা,Accusation.,,noun,/əˈkjuːz/,
achieve,অর্জন,"To succeed in something, now especially in academic performance.",,verb,/əˈtʃiːv/,
achievement,অর্জন,The act of achieving or performing; a successful performance; accomplishment,,noun,/əˈtʃiːvmənt/,
acid,অ্যাসিড,A sour substance.,,noun,/ˈæs.ɪd/,
acknowledge,স্বীকার,To admit the knowledge of; to recognize as a fact or truth; to declare one's belief in,to acknowledge the being of a god,verb,/əkˈnɒ.lɪdʒ/,
acquire,অর্জন,To get.,,verb,/əˈkwaɪə/,
across,জুড়ে,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue.","I solved all of the acrosses, but then got stuck on 3 down.",noun,/əˈkɹɑs/,
act,কাজ,"Something done, a deed.",an act of goodwill,noun,/æk/,
